abide,respecter,45
about,sur,1854
above,au dessus,147
abroad,à l'étranger,64
absence,absence,55
abuse,abuser de,76
according,selon,55
account,Compte,57
accuse,accuser,53
acquainted,connaissance,43
action,action,234
advantage,avantage,88
advice,Conseil,43
affairs,affaires,68
affection,affection,118
affections,affections,40
afraid,peur,41
after,après,543
afterwards,ensuite,0
again,encore,1365
alive,vivant,94
almost,presque,161
alone,seul,237
along,le long de,112
already,déjà,148
although,bien que,79
always,toujours,63
ambition,ambition,49
ancient,ancien,82
angel,ange,1314
anger,colère,429
another,un autre,455
answer,répondre,480
anything,n'importe quoi,105
apparel,vêtements,48
appear,apparaître,231
appears,apparaît,231
approach,approche,103
argument,argument,78
ariel,Ariel,93
armour,armure,57
aside,de côté,468
asleep,endormi,60
assure,assurer,71
athens,Athènes,72
attend,assister,416
attended,assisté,0
authority,autorité,55
avoid,éviter,52
awake,éveillé,87
awhile,quelque temps,102
banish,bannir,205
barren,Dénudé,43
bassianus,bassianus,45
bastard,Connard,234
battle,bataille,147
beard,barbe,136
bearing,palier,76
bears,ours,1734
beast,la bête,130
beaten,battu,50
beauty,beauté,233
because,car,1333
become,devenir,210
bedford,Bedford,49
before,avant,928
beggar,mendiant,125
begin,commencer,188
behalf,nom,109
behind,derrière,120
behold,voir,200
being,étant,664
believe,croyez,253
belike,être comme,42
below,au dessous de,54
benefit,avantage,135
besides,outre,115
betray,trahir,68
better,mieux,612
between,entre,415
beyond,au-delà,60
birth,naissance,144
bishop,évêque,134
bitter,amer,116
black,noir,197
blame,faire des reproches,94
bless,bénir,277
blessing,bénédiction,0
blest,heureux,85
blind,aveugle,105
blood,du sang,947
blows,coups,73
blunt,cru,263
blush,rougir,89
bodies,corps,54
bones,des os,76
borne,supporté,96
bottom,bas,820
bought,acheté,51
bound,lié,229
bounty,prime,64
brain,cerveau,154
brains,cerveaux,0
brave,courageux,223
breast,Sein,117
breath,souffle,360
breed,race,975
brief,bref,115
bright,brillant,82
bring,apporter,526
broke,cassé,383
brook,ruisseau,93
brother,frère,734
brought,apporté,196
brows,sourcils,49
burden,fardeau,62
buried,enterré,59
burning,brûlant,52
business,Entreprise,236
cannot,ne peux pas,762
capitol,Capitole,43
captain,capitaine,207
cardinal,cardinal,172
cares,se soucie,36
carry,porter,691
castle,Château,116
catch,capture,93
cause,cause,362
cease,cesser,68
certain,certain,236
chain,chaîne,81
chair,chaise,46
challenge,défi,57
chamber,chambre,220
